institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type
CMCC,CMCC-ESM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/SImon/siconc/gn/v20210304/,20210304,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/so/gn/v20210304/,20210304,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/thetao/gn/v20210304/,20210304,i,j,longitude,latitude,lev,NEMO
EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/SImon/siconc/gn/v20200918/,20200918,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/so/gn/v20200918/,20200918,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/thetao/gn/v20200918/,20200918,i,j,longitude,latitude,lev,NEMO
EC-Earth-Consortium,EC-Earth3-CC,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/SImon/siconc/gn/v20210331/,20210331,,,,,i,j,longitude,latitude,lev,NEMO
EC-Earth-Consortium,EC-Earth3-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200919/,20200919,,,,,i,j,longitude,latitude,lev,NEMO
EC-Earth-Consortium,EC-Earth3-Veg,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg/piControl/r1i1p1f1/SImon/siconc/gn/v20210419/,20210419,,,,,i,j,longitude,latitude,lev,NEMO
EC-Earth-Consortium,EC-Earth3-Veg-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-Veg-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200919/,20200919,,,,,i,j,longitude,latitude,lev,NEMO
EC-Earth-Consortium,EC-Earth3-AerChem,r1i1p1f1,gn,,,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-AerChem/piControl/r1i1p1f1/Omon/so/gn/v20200821,20200821,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-AerChem/piControl/r1i1p1f1/Omon/thetao/gn/v20200821,20200821,i,j,longitude,latitude,lev,NEMO
CNRM-CERFACS,CNRM-CM6-1,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/SImon/siconc/gn/v20180814/,20180814,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/so/gn/v20180814/,20180814,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/piControl/r1i1p1f2/Omon/thetao/gn/v20180814/,20180814,x,y,lon,lat,lev,NEMO
CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/SImon/siconc/gn/v20191021/,20191021,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/so/gn/v20191021/,20191021,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/thetao/gn/v20191021/,20191021,x,y,lon,lat,lev,NEMO
CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/SImon/siconc/gn/v20181115/,20181115,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/so/gn/v20181115/,20181115,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/thetao/gn/v20181115/,20181115,x,y,lon,lat,lev,NEMO
MOHC,HadGEM3-GC31-LL,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/SImon/siconc/gn/v20190628/,20190628,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/so/gn/v20190628/,20190628,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/thetao/gn/v20190628/,20190628,i,j,longitude,latitude,lev,NEMO
MOHC,HadGEM3-GC31-MM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/SImon/siconc/gn/v20191204/,20191204,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/so/gn/v20200107/,20200107,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/thetao/gn/v20200107/,20200107,i,j,longitude,latitude,lev,NEMO
MOHC,UKESM1-0-LL,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/SImon/siconc/gn/v20200828/,20200828,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/Omon/so/gn/v20190827/,20190827,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/Omon/thetao/gn/v20190827/,20190827,i,j,longitude,latitude,lev,NEMO
MOHC,UKESM1-1-LL,r1i1p1f2,gn,,,,,,,i,j,longitude,latitude,lev,NEMO
IPSL,IPSL-CM5A2-INCA,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/SImon/siconc/gn/v20210216/,20210216,,,,,x,y,nav_lon,nav_lat,deptht,NEMO
IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200326/,20200326,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Omon/so/gn/v20200326/,20200326,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20200326/,20200326,x,y,nav_lon,nav_lat,olevel,NEMO
IPSL,IPSL-CM6A-MR1,r1i1p1f1,gn,,,,,,,x,y,nav_lon,nav_lat,olevel,NEMO
MIROC,MIROC6,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/SImon/siconc/gn/v20181212/,20181212,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Omon/so/gn/v20190311/,20190311,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Omon/thetao/gn/v20190311/,20190311,x,y,longitude,latitude,lev,COCO
MIROC,MIROC-ES2L,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/SImon/siconc/gn/v20190823/,20190823,gs://cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Omon/so/gn/v20190823/,20190823,gs://cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Omon/thetao/gn/v20190823/,20190823,x,y,longitude,latitude,lev,COCO
MIROC,MIROC-ES2H,r1i1p4f2,gn,,,,,,,x,y,longitude,latitude,lev,COCO
MRI,MRI-ESM2-0,r1i2p1f1,gn,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/SImon/siconc/gn/v20210311/,20210311,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/Omon/so/gn/v20200222,20200222,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/Omon/thetao/gn/v20210311/,20210311,x,y,longitude,latitude,lev,MRI.COM
CAS,FGOALS-g3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/SImon/siconc/gn/v20191030/,20191030,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/Omon/so/gn/v20191126/,20191126,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/Omon/thetao/gn/v20191126/,20191126,i,j,longitude,latitude,lev,LICOM
CAS,CAS-ESM2-0,r1i1p1f1,gn,,,gs://cmip6/CMIP6/CMIP/CAS/CAS-ESM2-0/piControl/r1i1p1f1/Omon/so/gn/v20200307,20200307,gs://cmip6/CMIP6/CMIP/CAS/CAS-ESM2-0/piControl/r1i1p1f1/Omon/thetao/gn/v20200307,20200307,i,j,longitude,latitude,lev,LICOM
THU,CIESM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/SImon/siconc/gn/v20200420/,20200420,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/so/gn/v20200417/,20200417,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/thetao/gn/v20200220/,20200220,i,j,longitude,latitude,lev,LICOM
AS-RCEC,TaiESM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/SImon/siconc/gn/v20200309/,20200309,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/so/gn/v20210213/,20210213,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/thetao/gn/v20210213/,20210213,i,j,longitude,latitude,lev,POP
NCAR,CESM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/SImon/siconc/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/so/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/thetao/gn/v20190320/,20190320,nlon,nlat,lon,lat,lev,POP
NCAR,CESM2-FV2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/SImon/siconc/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/so/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/thetao/gn/v20191120/,20191120,nlon,nlat,lon,lat,lev,POP
NCAR,CESM2-WACCM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/SImon/siconc/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/so/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/thetao/gn/v20190320/,20190320,nlon,nlat,lon,lat,lev,POP
NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/SImon/siconc/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/so/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/thetao/gn/v20191120/,20191120,nlon,nlat,lon,lat,lev,POP
SNU,SAM0-UNICON,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/SImon/siconc/gn/v20190910/,20190910,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/so/gn/v20190910/,20190910,gs://cmip6/CMIP6/CMIP/SNU/SAM0-UNICON/piControl/r1i1p1f1/Omon/thetao/gn/v20190910/,20190910,i,j,longitude,latitude,lev,POP
NASA-GISS,GISS-E2-1-H,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/SImon/siconc/gr/v20190410/,20190410,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/Omon/so/gr/v20190410/,20190410,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-1-H/piControl/r1i1p1f1/Omon/thetao/gr/v20190410/,20190410,lon,lat,,,lev,HYCOM
NASA-GISS,GISS-E2-2-H,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/NASA-GISS/GISS-E2-2-H/piControl/r1i1p1f1/SImon/siconc/gr/v20191120/,20191120,,,,,lon,lat,,,lev,HYCOM
INM,INM-CM4-8,r1i1p1f1,gr1,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/SImon/siconc/gr1/v20190605/,20190605,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/so/gr1/v20190605/,20190605,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/thetao/gr1/v20190605/,20190605,lon,lat,,,lev,INM
NCC,NorESM2-MM,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/SImon/siconc/gn/v20191108/,20191108,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/Omon/so/gr/v20191108,20191108,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-MM/piControl/r1i1p1f1/Omon/thetao/gr/v20191108,20191108,i,j,longitude,latitude,lev,BLOM
NCC,NorESM2-LM,r1i1p1f1,gn,,,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/Omon/so/gr/v20210118,20210118,gs://cmip6/CMIP6/CMIP/NCC/NorESM2-LM/piControl/r1i1p1f1/Omon/thetao/gr/v20210118,20210118,i,j,longitude,latitude,lev,MICOM
NCC,NorCPM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/SImon/siconc/gn/v20190914/,20190914,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/Omon/so/gr/v20190914/,20190914,gs://cmip6/CMIP6/CMIP/NCC/NorCPM1/piControl/r1i1p1f1/Omon/thetao/gr/v20190914/,20190914,i,j,longitude,latitude,lev,MICOM
HAMMOZ-Consortium,MPI-ESM-1-2-HAM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/HAMMOZ-Consortium/MPI-ESM-1-2-HAM/piControl/r1i1p1f1/SImon/siconc/gn/v20200120/,20200120,,,,,i,j,longitude,latitude,lev,MPIOM
MPI-M,MPI-ESM1-2-HR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/SImon/siconc/gn/v20190710/,20190710,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/so/gn/v20190710/,20190710,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-HR/piControl/r1i1p1f1/Omon/thetao/gn/v20190710/,20190710,i,j,longitude,latitude,lev,MPIOM
MPI-M,MPI-ESM1-2-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20190710/,20190710,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/Omon/so/gn/v20190710/,20190710,gs://cmip6/CMIP6/CMIP/MPI-M/MPI-ESM1-2-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20190710/,20190710,i,j,longitude,latitude,lev,MPIOM
MPI-M,ICON-ESM-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20210215/,20210215,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/Omon/so/gn/v20210215/,20210215,gs://cmip6/CMIP6/CMIP/MPI-M/ICON-ESM-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20210215/,20210215,,,,,lev,ICON-O
AWI,AWI-ESM-1-1-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200212/,20200212,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/Omon/so/gn/v20200212/,20200212,gs://cmip6/CMIP6/CMIP/AWI/AWI-ESM-1-1-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20200212/,20200212,,,,,depth,FESOM
E3SM-Project,E3SM-1-0,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/SImon/siconc/gr/v20191210/,20191210,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/so/gr/v20200129/,20200129,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-0/piControl/r1i1p1f1/Omon/thetao/gr/v20200129/,20200129,lon,lat,,,lev,MPAS-Ocean
E3SM-Project,E3SM-1-1,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/SImon/siconc/gr/v20201123/,20201123,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/so/gr/v20201130/,20201130,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1/piControl/r1i1p1f1/Omon/thetao/gr/v20201130/,20201130,lon,lat,,,lev,MPAS-Ocean
E3SM-Project,E3SM-1-1-ECA,r1i1p1f1,gr,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/SImon/siconc/gr/v20201202/,20201202,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Omon/so/gr/v20201203/,20201203,gs://cmip6/CMIP6/CMIP/E3SM-Project/E3SM-1-1-ECA/piControl/r1i1p1f1/Omon/thetao/gr/v20201203/,20201203,lon,lat,,,lev,MPAS-Ocean
E3SM-Project,E3SM-2-0,r1i1p1f1,gr,,,,,,,lon,lat,,,lev,MPAS-Ocean
E3SM-Project,E3SM-2-0-NARRM,r1i1p1f1,gr,,,,,,,lon,lat,,,lev,MPAS-Ocean
