,institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type,zstore_hfds,zstore_mlotst
21,CNRM-CERFACS,CNRM-CM6-1-HR,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/SImon/siconc/gn/v20191021/,20191021.0,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/so/gn/v20191021/,20191021.0,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/thetao/gn/v20191021/,20191021.0,x,y,lon,lat,lev,NEMO,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/hfds/gn/v20191021/,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1-HR/piControl/r1i1p1f2/Omon/mlotst/gn/v20191021/
22,CNRM-CERFACS,CNRM-ESM2-1,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/SImon/siconc/gn/v20181115/,20181115.0,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/so/gn/v20181115/,20181115.0,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/thetao/gn/v20181115/,20181115.0,x,y,lon,lat,lev,NEMO,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/hfds/gn/v20181115/,gs://cmip6/CMIP6/CMIP/CNRM-CERFACS/CNRM-ESM2-1/piControl/r1i1p1f2/Omon/mlotst/gn/v20181115/
23,MOHC,HadGEM3-GC31-LL,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/SImon/siconc/gn/v20190628/,20190628.0,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/so/gn/v20190628/,20190628.0,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/thetao/gn/v20190628/,20190628.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/hfds/gn/v20190628/,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/piControl/r1i1p1f1/Omon/mlotst/gn/v20211103/
24,MOHC,HadGEM3-GC31-MM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/SImon/siconc/gn/v20191204/,20191204.0,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/so/gn/v20200107/,20200107.0,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/thetao/gn/v20200107/,20200107.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/hfds/gn/v20191204/,gs://cmip6/CMIP6/CMIP/MOHC/HadGEM3-GC31-MM/piControl/r1i1p1f1/Omon/mlotst/gn/v20191204/
25,MOHC,UKESM1-0-LL,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/SImon/siconc/gn/v20200828/,20200828.0,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/Omon/so/gn/v20190827/,20190827.0,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/Omon/thetao/gn/v20190827/,20190827.0,i,j,longitude,latitude,lev,NEMO,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/Omon/hfds/gn/v20200828/,gs://cmip6/CMIP6/CMIP/MOHC/UKESM1-0-LL/piControl/r1i1p1f2/Omon/mlotst/gn/v20200828/
26,MOHC,UKESM1-1-LL,r1i1p1f2,gn,,,,,,,i,j,longitude,latitude,lev,NEMO,,
27,IPSL,IPSL-CM5A2-INCA,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/SImon/siconc/gn/v20210216/,20210216.0,,,,,x,y,nav_lon,nav_lat,deptht,NEMO,,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM5A2-INCA/piControl/r1i1p1f1/Omon/mlotst/gn/v20210216/
28,IPSL,IPSL-CM6A-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200326/,20200326.0,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Omon/so/gn/v20200326/,20200326.0,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Omon/thetao/gn/v20200326/,20200326.0,x,y,nav_lon,nav_lat,olevel,NEMO,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Omon/hfds/gn/v20200326/,gs://cmip6/CMIP6/CMIP/IPSL/IPSL-CM6A-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20200326/
29,IPSL,IPSL-CM6A-MR1,r1i1p1f1,gn,,,,,,,x,y,nav_lon,nav_lat,olevel,NEMO,,
30,MIROC,MIROC6,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/SImon/siconc/gn/v20181212/,20181212.0,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Omon/so/gn/v20190311/,20190311.0,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Omon/thetao/gn/v20190311/,20190311.0,x,y,longitude,latitude,lev,COCO,,gs://cmip6/CMIP6/CMIP/MIROC/MIROC6/piControl/r1i1p1f1/Omon/mlotst/gn/v20210129/
31,MIROC,MIROC-ES2L,r1i1p1f2,gn,gs://cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/SImon/siconc/gn/v20190823/,20190823.0,gs://cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Omon/so/gn/v20190823/,20190823.0,gs://cmip6/CMIP6/CMIP/MIROC/MIROC-ES2L/piControl/r1i1p1f2/Omon/thetao/gn/v20190823/,20190823.0,x,y,longitude,latitude,lev,COCO,,
32,MIROC,MIROC-ES2H,r1i1p4f2,gn,,,,,,,x,y,longitude,latitude,lev,COCO,,
33,MRI,MRI-ESM2-0,r1i2p1f1,gn,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/SImon/siconc/gn/v20210311/,20210311.0,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/Omon/so/gn/v20200222,20200222.0,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/Omon/thetao/gn/v20210311/,20210311.0,x,y,longitude,latitude,lev,MRI.COM,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/Omon/hfds/gn/v20210311/,gs://cmip6/CMIP6/CMIP/MRI/MRI-ESM2-0/piControl/r1i2p1f1/Omon/mlotst/gn/v20200222/
34,CAS,FGOALS-g3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/SImon/siconc/gn/v20191030/,20191030.0,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/Omon/so/gn/v20191126/,20191126.0,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/Omon/thetao/gn/v20191126/,20191126.0,i,j,longitude,latitude,lev,LICOM,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/Omon/hfds/gn/v20191126/,gs://cmip6/CMIP6/CMIP/CAS/FGOALS-g3/piControl/r1i1p1f1/Omon/mlotst/gn/v20191125/
35,CAS,CAS-ESM2-0,r1i1p1f1,gn,,,gs://cmip6/CMIP6/CMIP/CAS/CAS-ESM2-0/piControl/r1i1p1f1/Omon/so/gn/v20200307,20200307.0,gs://cmip6/CMIP6/CMIP/CAS/CAS-ESM2-0/piControl/r1i1p1f1/Omon/thetao/gn/v20200307,20200307.0,i,j,longitude,latitude,lev,LICOM,,gs://cmip6/CMIP6/CMIP/CAS/CAS-ESM2-0/piControl/r1i1p1f1/Omon/mlotst/gn/v20201227/
36,THU,CIESM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/SImon/siconc/gn/v20200420/,20200420.0,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/so/gn/v20200417/,20200417.0,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/thetao/gn/v20200220/,20200220.0,i,j,longitude,latitude,lev,LICOM,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/hfds/gn/v20200220/,
37,AS-RCEC,TaiESM1,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/SImon/siconc/gn/v20200309/,20200309.0,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/so/gn/v20210213/,20210213.0,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/thetao/gn/v20210213/,20210213.0,i,j,longitude,latitude,lev,POP,gs://cmip6/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Omon/hfds/gn/v20210213/,
38,NCAR,CESM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/SImon/siconc/gn/v20190320/,20190320.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/so/gn/v20190320/,20190320.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/thetao/gn/v20190320/,20190320.0,nlon,nlat,lon,lat,lev,POP,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/hfds/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/mlotst/gn/v20190320/
39,NCAR,CESM2-FV2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/SImon/siconc/gn/v20191120/,20191120.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/so/gn/v20191120/,20191120.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/thetao/gn/v20191120/,20191120.0,nlon,nlat,lon,lat,lev,POP,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/hfds/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/mlotst/gn/v20191120/
40,NCAR,CESM2-WACCM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/SImon/siconc/gn/v20190320/,20190320.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/so/gn/v20190320/,20190320.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/thetao/gn/v20190320/,20190320.0,nlon,nlat,lon,lat,lev,POP,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/hfds/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/mlotst/gn/v20190320/
41,NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/SImon/siconc/gn/v20191120/,20191120.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/so/gn/v20191120/,20191120.0,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/thetao/gn/v20191120/,20191120.0,nlon,nlat,lon,lat,lev,POP,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/hfds/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/mlotst/gn/v20191120/
