5.000000000000000000e+00 1.027053955078125000e+03
1.500000000000000000e+01 1.027092163085937500e+03
2.500000000000000000e+01 1.027143798828125000e+03
3.500000000000000000e+01 1.027197143554687500e+03
4.500000000000000000e+01 1.027246337890625000e+03
5.500000000000000000e+01 1.027285278320312500e+03
6.500000000000000000e+01 1.027317016601562500e+03
7.500000000000000000e+01 1.027338745117187500e+03
8.500000000000000000e+01 1.027357299804687500e+03
9.500000000000000000e+01 1.027372558593750000e+03
1.050000000000000000e+02 1.027382934570312500e+03
1.150000000000000000e+02 1.027394897460937500e+03
1.250000000000000000e+02 1.027405883789062500e+03
1.350000000000000000e+02 1.027415283203125000e+03
1.450000000000000000e+02 1.027425170898437500e+03
1.550000000000000000e+02 1.027437377929687500e+03
1.650000000000000000e+02 1.027446899414062500e+03
1.750000000000000000e+02 1.027455200195312500e+03
1.850000000000000000e+02 1.027461914062500000e+03
1.950000000000000000e+02 1.027468505859375000e+03
2.050000000000000000e+02 1.027476440429687500e+03
2.150000000000000000e+02 1.027482055664062500e+03
2.250000000000000000e+02 1.027489013671875000e+03
2.361228179931640057e+02 1.027495971679687500e+03
2.505999755859380116e+02 1.027504394531250000e+03
2.706208190917969887e+02 1.027516479492187500e+03
2.983049316406250000e+02 1.027531860351562500e+03
3.356756286621089771e+02 1.027549072265625000e+03
3.846342773437500000e+02 1.027569091796875000e+03
4.469366455078119884e+02 1.027594360351562500e+03
5.241705932617189774e+02 1.027616455078125000e+03
6.177363281250000000e+02 1.027641357421875000e+03
7.288284912109379547e+02 1.027667602539062500e+03
8.584215087890620453e+02 1.027689331054687500e+03
1.007257080078119998e+03 1.027708618164062500e+03
1.175834838867190001e+03 1.027724975585937500e+03
1.364406250000000000e+03 1.027735595703125000e+03
1.572971313476559999e+03 1.027743530273437500e+03
1.801278686523440001e+03 1.027747924804687500e+03
2.048828613281250000e+03 1.027750366210937500e+03
2.314879150390619998e+03 1.027751831054687500e+03
2.598456298828119998e+03 1.027752075195312500e+03
2.898365234375000000e+03 1.027751586914062500e+03
3.213205810546880002e+03 1.027749267578125000e+03
3.541389892578119998e+03 1.027745971679687500e+03
3.881162109375000000e+03 1.027745117187500000e+03
4.230620605468750000e+03 1.027745239257812500e+03
4.587742675781250000e+03 1.027750000000000000e+03
4.950408691406250000e+03 1.027757934570312500e+03
5.316428710937500000e+03 1.027750244140625000e+03
