name,P_period,P_sig,C_period,C_sig
CAMS-CSM1-0,12.195121951219512,0.9939890075521396,71.42857142857143,0.8673173024663079
BCC-CSM2-MR,2.941176470588235,0.9904657623082237,50.0,0.9993950264060344
BCC-ESM1,3.089041095890411,0.996498721097942,50.111111111111114,0.9755459937178317
ACCESS-ESM1-5,100.0,0.997638275245455,83.33333333333333,0.999471934400869
ACCESS-CM2,250.0,0.9920221485246656,19.23076923076923,0.9895476535263447
GFDL-CM4,100.0,0.9988966706439105,100.0,0.9662673835707554
GFDL-ESM4,166.66666666666666,0.9970756919738544,100.0,0.956794042125015
INM-CM4-8,9.80392156862745,0.8673680656003339,,
SAM0-UNICON,2.0,0.8615711032008129,,
CIESM,,,,
CESM2,,,,
CESM2-FV2,,,,
CESM2-WACCM,,,,
CESM2-WACCM-FV2,29.41176470588235,0.8731739621575183,,
CAS-ESM2-0,2.8571428571428568,0.970953166433724,125.0,0.9519855143698104
FGOALS-g3,2.7624309392265194,0.9996417850675808,23.809523809523807,0.9914128588445313
NESM3,3.571428571428571,0.9972868554728292,166.66666666666666,0.9914044804375741
CanESM5,5.1020408163265305,0.9958950964107999,100.0,0.9878891164948392
CanESM5-1,4.672897196261682,0.7762878651696822,100.0,0.9986032725537303
CanESM5-CanOE,2.717391304347826,0.967908267501851,100.0,0.9997094342417275
HadGEM3-GC31-LL,2.6737967914438503,0.9958599237368511,71.42857142857143,0.9752291534845388
HadGEM3-GC31-MM,10.204081632653061,0.9417043306181695,250.0,0.8269073244150029
UKESM1-0-LL,125.0,0.947259699834763,125.0,0.9754266602005992
UKESM1-1-LL,5.703703703703703,0.9747187650571786,231.0,0.8700389671758988
EC-Earth3,5.0,0.9936689892474264,13.157894736842106,0.9971122010705545
EC-Earth3-CC,9.25925925925926,0.9984660501596633,21.73913043478261,0.9997370182003398
EC-Earth3-Veg,10.0,0.9958641080765577,11.363636363636365,0.9999815220095535
EC-Earth3-Veg-LR,11.627906976744185,0.9946861079690617,21.73913043478261,0.9868399516705204
EC-Earth3-AerChem,29.41176470588235,0.9674348278089213,27.777777777777775,0.9983806128457691
CNRM-CM6-1,9.615384615384615,0.9748106123660274,35.714285714285715,0.9911627397502061
CNRM-CM6-1-HR,30.0,0.8181567747620162,60.0,0.9993083204058258
CNRM-ESM2-1,19.23076923076923,0.8886625230725029,41.666666666666664,0.984098060771329
CMCC-CM2-SR5,3.64963503649635,0.9479488894486673,100.0,0.8215678542649388
CMCC-ESM2,14.705882352941176,0.8649798944238136,2.242152466367713,0.8785416103729239
IPSL-CM6A-LR,83.33333333333333,0.6343250459947856,250.0,0.9707782483177878
IPSL-CM6A-MR1,71.42857142857143,0.6343234945719249,31.25,0.9839862656768131
GISS-E2-1-H,16.708333333333332,0.9178249373171021,40.1,0.9039380981315804
E3SM-1-0,3.7878787878787876,0.98267721900699,,
E3SM-2-0,4.62962962962963,0.9924499181971239,,
E3SM-2-0-NARRM,45.45454545454546,0.9983170135915167,,
NorCPM1,21.73913043478261,0.9869696870572536,,
NorESM2-MM,7.142857142857142,0.9949928081880245,27.777777777777775,0.9911169454393712
NorESM2-LM,4.201680672268907,0.9988613496777767,83.33333333333333,0.8505218812866399
MPI-ESM-1-2-HAM,27.777777777777775,0.9885520826822486,41.666666666666664,0.9959434752713119
MPI-ESM1-2-HR,38.46153846153846,0.990581521321165,38.46153846153846,0.9651735948090032
MPI-ESM1-2-LR,29.41176470588235,0.9944457860830169,45.45454545454546,0.9433468103306873
MIROC6,5.05050505050505,0.964835918818235,35.714285714285715,0.9882391867286471
MIROC-ES2L,,,35.714285714285715,0.9668270757413363
MIROC-ES2H,3.4146341463414633,0.9021770973310821,104.99999999999999,0.9294611683625056
