name,p_cross,c_cross,carea_vs_parea_c,carea_vs_parea_p,carea_vs_sic_c,carea_vs_sic_p,carea_vs_mld_c,carea_vs_mld_p,carea_vs_thick_c,carea_vs_thick_p,carea_vs_hfds_c,carea_vs_hfds_p,carea_vs_sst_c,carea_vs_sst_p,carea_vs_sos_c,carea_vs_sos_p,carea_vs_sst_ann_c,carea_vs_sst_ann_p,carea_vs_sos_ann_c,carea_vs_sos_ann_p,parea_vs_sic_c,parea_vs_sic_p,parea_vs_mld_c,parea_vs_mld_p,parea_vs_thick_c,parea_vs_thick_p,parea_vs_hfds_c,parea_vs_hfds_p,parea_vs_sst_c,parea_vs_sst_p,parea_vs_sos_c,parea_vs_sos_p,parea_vs_sst_ann_c,parea_vs_sst_ann_p,parea_vs_sos_ann_c,parea_vs_sos_ann_p,sic_vs_mld_c,sic_vs_mld_p,sic_vs_thick_c,sic_vs_thick_p,sic_vs_hfds_c,sic_vs_hfds_p,sic_vs_sst_c,sic_vs_sst_p,sic_vs_sos_c,sic_vs_sos_p,sic_vs_sst_ann_c,sic_vs_sst_ann_p,sic_vs_sos_ann_c,sic_vs_sos_ann_p,mld_vs_thick_c,mld_vs_thick_p,mld_vs_hfds_c,mld_vs_hfds_p,mld_vs_sst_c,mld_vs_sst_p,mld_vs_sos_c,mld_vs_sos_p,mld_vs_sst_ann_c,mld_vs_sst_ann_p,mld_vs_sos_ann_c,mld_vs_sos_ann_p,thick_vs_hfds_c,thick_vs_hfds_p,thick_vs_sst_c,thick_vs_sst_p,thick_vs_sos_c,thick_vs_sos_p,thick_vs_sst_ann_c,thick_vs_sst_ann_p,thick_vs_sos_ann_c,thick_vs_sos_ann_p,hfds_vs_sst_c,hfds_vs_sst_p,hfds_vs_sos_c,hfds_vs_sos_p,hfds_vs_sst_ann_c,hfds_vs_sst_ann_p,hfds_vs_sos_ann_c,hfds_vs_sos_ann_p,sst_vs_sos_c,sst_vs_sos_p,sst_vs_sst_ann_c,sst_vs_sst_ann_p,sst_vs_sos_ann_c,sst_vs_sos_ann_p,sos_vs_sst_ann_c,sos_vs_sst_ann_p,sos_vs_sos_ann_c,sos_vs_sos_ann_p,sst_ann_vs_sos_ann_c,sst_ann_vs_sos_ann_p
HadGEM3-GC31-MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKESM1-0-LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKESM1-1-LL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-Veg-LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC-Earth3-AerChem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1-HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMCC-ESM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-MR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GISS-E2-1-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3SM-1-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3SM-2-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3SM-2-0-NARRM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorCPM1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorESM2-MM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorESM2-LM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM-1-2-HAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI-ESM1-2-LR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIROC6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIROC-ES2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIROC-ES2H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
