,institution_id,source_id,member_id,grid_label,zstore_siconc,version,zstore_so,version_x,zstore_thetao,version_y,xname,yname,lonname,latname,zname,type,type_ice,zstore_hfds,zstore_mlotst,zstore_sithick,zstore_tos,zstore_sos,zstore_sivol,resolution
10,THU,CIESM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/SImon/siconc/gn/v20200420/,20200420,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/so/gn/v20200417/,20200417,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/thetao/gn/v20200220/,20200220,i,j,longitude,latitude,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/hfds/gn/v20200220/,,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/SImon/sithick/gn/v20200420/,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/tos/gn/v20200220/,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/Omon/sos/gn/v20200220/,gs://cmip6/CMIP6/CMIP/THU/CIESM/piControl/r1i1p1f1/SImon/sivol/gn/v20200420/,720 x 560
11,NCAR,CESM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/SImon/siconc/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/so/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/thetao/gn/v20190320/,20190320,nlon,nlat,lon,lat,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/hfds/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/mlotst/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/SImon/sithick/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/tos/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/Omon/sos/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2/piControl/r1i1p1f1/SImon/sivol/gn/v20190320/,320 x 384
12,NCAR,CESM2-FV2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/SImon/siconc/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/so/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/thetao/gn/v20191120/,20191120,nlon,nlat,lon,lat,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/hfds/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/mlotst/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/SImon/sithick/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/tos/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/Omon/sos/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-FV2/piControl/r1i1p1f1/SImon/sivol/gn/v20191120/,320 x 384
13,NCAR,CESM2-WACCM,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/SImon/siconc/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/so/gn/v20190320/,20190320,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/thetao/gn/v20190320/,20190320,nlon,nlat,lon,lat,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/hfds/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/mlotst/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/SImon/sithick/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/tos/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/Omon/sos/gn/v20190320/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM/piControl/r1i1p1f1/SImon/sivol/gn/v20190320/,320 x 384
14,NCAR,CESM2-WACCM-FV2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/SImon/siconc/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/so/gn/v20191120/,20191120,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/thetao/gn/v20191120/,20191120,nlon,nlat,lon,lat,lev,POP,CICE,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/hfds/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/mlotst/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/SImon/sithick/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/tos/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/Omon/sos/gn/v20191120/,gs://cmip6/CMIP6/CMIP/NCAR/CESM2-WACCM-FV2/piControl/r1i1p1f1/SImon/sivol/gn/v20191120/,320 x 384
15,INM,INM-CM4-8,r1i1p1f1,gr1,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/SImon/siconc/gr1/v20190605/,20190605,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/so/gr1/v20190605/,20190605,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/thetao/gr1/v20190605/,20190605,lon,lat,,,lev,INM,INM-ICE,,,,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/tos/gr1/v20190605/,gs://cmip6/CMIP6/CMIP/INM/INM-CM4-8/piControl/r1i1p1f1/Omon/sos/gr1/v20190605/,,360 x 318
16,NUIST,NESM3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/SImon/siconc/gn/v20190704/,20190704,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/so/gn/v20190704/,20190704,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/thetao/gn/v20190704/,20190704,i,j,longitude,latitude,lev,NEMO,CICE,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/hfds/gn/v20190704/,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/mlotst/gn/v20190704/,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/SImon/sithick/gn/v20190714/,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/tos/gn/v20190704/,gs://cmip6/CMIP6/CMIP/NUIST/NESM3/piControl/r1i1p1f1/Omon/sos/gn/v20190704/,,384 x 362
17,CCCma,CanESM5,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/SImon/siconc/gn/v20190429/,20190429,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/so/gn/v20190429/,20190429,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/thetao/gn/v20190429/,20190429,i,j,longitude,latitude,lev,NEMO,LIM,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/hfds/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/mlotst/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p2f1/SImon/sithick/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/tos/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/sos/gn/v20190429/,,361 x 290
18,CCCma,CanESM5-1,r1i1p1f1,gn,,,,,,,i,j,longitude,latitude,lev,NEMO,LIM,,,,,,,361 x 290
19,CCCma,CanESM5-CanOE,r1i1p2f1,gn,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/SImon/siconc/gn/v20190429/,20190429,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/so/gn/v20190429/,20190429,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/thetao/gn/v20190429/,20190429,i,j,longitude,latitude,lev,NEMO,LIM,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/hfds/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/mlotst/gn/v20190429/,,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/tos/gn/v20190429/,gs://cmip6/CMIP6/CMIP/CCCma/CanESM5-CanOE/piControl/r1i1p2f1/Omon/sos/gn/v20190429/,,361 x 290
20,CMCC,CMCC-CM2-SR5,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/SImon/siconc/gn/v20200616/,20200616,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/so/gn/v20200616/,20200616,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/thetao/gn/v20200616/,20200616,i,j,longitude,latitude,lev,NEMO,CICE,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/hfds/gn/v20200616/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/mlotst/gn/v20200616/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/SImon/sithick/gn/v20200616/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/tos/gn/v20200616/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/Omon/sos/gn/v20200616/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-CM2-SR5/piControl/r1i1p1f1/SImon/sivol/gn/v20200616/,362 x 292
21,CMCC,CMCC-ESM2,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/SImon/siconc/gn/v20210304/,20210304,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/so/gn/v20210304/,20210304,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/thetao/gn/v20210304/,20210304,i,j,longitude,latitude,lev,NEMO,CICE,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/hfds/gn/v20210304/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/mlotst/gn/v20210304/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/SImon/sithick/gn/v20210304/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/tos/gn/v20210304/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/Omon/sos/gn/v20210304/,gs://cmip6/CMIP6/CMIP/CMCC/CMCC-ESM2/piControl/r1i1p1f1/SImon/sivol/gn/v20210304/,362 x 292
22,EC-Earth-Consortium,EC-Earth3,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/SImon/siconc/gn/v20200918/,20200918,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/so/gn/v20200918/,20200918,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/thetao/gn/v20200918/,20200918,i,j,longitude,latitude,lev,NEMO,LIM,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/hfds/gn/v20200918/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/mlotst/gn/v20200918/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/SImon/sithick/gn/v20200918/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/tos/gn/v20200918/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/Omon/sos/gn/v20200918/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/piControl/r1i1p1f1/SImon/sivol/gn/v20200918/,362 x 292 
23,EC-Earth-Consortium,EC-Earth3-CC,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/SImon/siconc/gn/v20210331/,20210331,,,,,i,j,longitude,latitude,lev,NEMO,LIM,,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/Omon/mlotst/gn/v20210416/,,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/Omon/tos/gn/v20210416/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-CC/piControl/r1i1p1f1/Omon/sos/gn/v20210416/,,362 x 292 
24,EC-Earth-Consortium,EC-Earth3-LR,r1i1p1f1,gn,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/SImon/siconc/gn/v20200919/,20200919,,,,,i,j,longitude,latitude,lev,NEMO,LIM,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/hfds/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/mlotst/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/SImon/sithick/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/tos/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/Omon/sos/gn/v20200919/,gs://cmip6/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3-LR/piControl/r1i1p1f1/SImon/sivol/gn/v20200919/,362 x 292 
