name,t_mean_p_diff,t_mean_c_diff,s_mean_p_diff,s_mean_c_diff,ice_mean_p_diff,ice_mean_c_diff,thick_mp_diff,thick_mc_diff,hfds_mp_diff,hfds_mc_diff,mld_mp_diff,mld_mc_diff,tann_p_diff,tann_c_diff,sann_p_diff,sann_c_diff
GISS-E2-1-H,-1.2010282278060913,-1.109392762184143,-1.4007614850997925,0.4162623882293701,26.09989356994629,17.15578842163086,0.5663162469863892,-0.3595387041568756,23.474573135375977,12.328319549560547,-52.92608672295606,-11.44494076531138,-2.0093142986297607,-1.1009445190429688,-1.7017523050308228,0.4479888677597046
E3SM-1-0,-1.8331714868545532,,16.6984806060791,,14.564705848693848,,-0.4254005551338196,,-5.786293029785156,,25.922578811645508,,-0.7580678462982178,,16.5307559967041,
E3SM-2-0,-1.2756670713424683,,-1.093569040298462,,25.035919189453125,,0.3143777549266815,,30.156536102294922,,-69.78440856933594,,-1.453050971031189,,-1.6653741598129272,
E3SM-2-0-NARRM,-1.200811743736267,,-1.0941413640975952,,24.14190673828125,,0.4829351007938385,,30.38387107849121,,-61.72713088989258,,-1.5201959609985352,,-1.5324450731277466,
NorCPM1,-0.7981406450271606,,0.35340115427970886,,22.246835708618164,,0.04743330180644989,,1.0386747121810913,,-24.2550048828125,,-0.8041043877601624,,0.28711238503456116,
NorESM2-MM,-1.1558876037597656,-1.1608052253723145,0.29470008611679077,0.2938489615917206,10.005009651184082,15.090269088745117,-0.42496439814567566,-0.30781611800193787,-20.38496208190918,-16.882797241210938,1502.3739013671875,1090.0096435546875,-1.1778231859207153,-1.2512876987457275,0.3381996154785156,0.3064517080783844
NorESM2-LM,-1.2027263641357422,-1.2331435680389404,0.3234238922595978,0.3227076530456543,6.737801551818848,13.604498863220215,-0.4701858460903168,-0.3561445474624634,-23.123414993286133,-16.62124252319336,1411.5771484375,1121.237060546875,-1.2627798318862915,-1.3426523208618164,0.36386531591415405,0.3374525308609009
MPI-ESM-1-2-HAM,-0.9106767773628235,-0.7618725895881653,0.14419828355312347,0.2065056413412094,7.932846546173096,-1.5262370109558105,-0.13983696699142456,-0.12990042567253113,-27.546655654907227,-18.61764907836914,326.18096923828125,444.9048156738281,-0.9999897480010986,-0.7694945931434631,0.15534694492816925,0.23430848121643066
MPI-ESM1-2-HR,-0.7981668710708618,-0.7728769183158875,0.22279445827007294,0.2752244770526886,19.65852928161621,21.680261611938477,-0.17857757210731506,-0.1693553328514099,-6.8788676261901855,-9.127704620361328,341.3990783691406,571.5191040039062,-0.8517116904258728,-0.9354859590530396,0.21217140555381775,0.2629074156284332
MPI-ESM1-2-LR,-0.6711170673370361,-0.633733868598938,0.15437819063663483,0.2352333813905716,8.180685997009277,5.950498580932617,-0.16645009815692902,-0.1642971783876419,-16.300106048583984,-15.144064903259277,326.0793762207031,510.2695617675781,-0.6014010310173035,-0.56194007396698,0.16284136474132538,0.25046610832214355
MIROC6,-1.6095677614212036,-1.0423916578292847,0.2084578573703766,0.2328111082315445,5.793846607208252,-9.704599380493164,-0.21006053686141968,-0.21280278265476227,-68.42256164550781,-52.50637435913086,2144.714111328125,1190.103759765625,-1.8234634399414062,-1.1227076053619385,0.23032043874263763,0.28857237100601196
MIROC-ES2L,,-2.0749075412750244,,0.07244054228067398,,13.296059608459473,,0.0341598317027092,,,,1311.624726644986,,-2.1410131454467773,,-0.08627937734127045
MIROC-ES2H,-2.748436689376831,-1.2950266599655151,0.03021143563091755,0.17834630608558655,61.82019805908203,6.0576171875,-0.1852189600467682,-0.06989198923110962,,,453.1091302611426,1937.988756503723,-2.781998634338379,-1.393433928489685,-0.026009706780314445,0.14306817948818207
